"","Participant.Private.ID","Eye.Condition","structure","meanRt","hand","size","xR","yR","xL","yL"
"310",4372219,"Binoc","pos4Size1",830.062500000931,"right",20,74,74,26,74
"311",4372219,"Binoc","pos4Size2",822.150000001304,"right",10,74,74,26,74
"312",4372219,"Binoc","pos4Size3",1086.26249999925,"right",5,74,74,26,74
"313",4372219,"Binoc","pos5Size1",700.575000000186,"right",20,8,46,92,46
"314",4372219,"Binoc","pos5Size2",707.775000000373,"right",10,8,46,92,46
"315",4372219,"Binoc","pos5Size3",1079.125,"right",5,8,46,92,46
"316",4372219,"Mono","pos1Size1",629.062499999069,"right",20,40,40,60,40
"317",4372219,"Mono","pos1Size2",697.012499999255,"right",10,40,40,60,40
"318",4372219,"Mono","pos1Size3",929.050000002607,"right",5,40,40,60,40
"319",4372219,"Mono","pos2Size1",529.3125,"right",20,20,25,80,25
"320",4372219,"Mono","pos2Size2",728.200000001117,"right",10,20,25,80,25
"321",4372219,"Mono","pos2Size3",1102.31250000093,"right",5,20,25,80,25
"322",4372219,"Mono","pos3Size1",768.262500001117,"right",20,41,71,59,71
"323",4372219,"Mono","pos3Size2",1174.36249999888,"right",10,41,71,59,71
"324",4372219,"Mono","pos3Size3",993.525000000373,"right",5,41,71,59,71
"325",4372219,"Mono","pos4Size1",967.58749999851,"right",20,74,74,26,74
"326",4372219,"Mono","pos4Size2",1065.42499999888,"right",10,74,74,26,74
"327",4372219,"Mono","pos4Size3",1120.23749999981,"right",5,74,74,26,74
"328",4372219,"Mono","pos5Size1",710.487500001676,"right",20,8,46,92,46
"329",4372219,"Mono","pos5Size2",794.4375,"right",10,8,46,92,46
"330",4372219,"Mono","pos5Size3",886.149999999441,"right",5,8,46,92,46
"331",4373538,"Binoc","pos1Size1",473,"right",20,40,40,60,40
"332",4373538,"Binoc","pos1Size2",517.812500014901,"right",10,40,40,60,40
"333",4373538,"Binoc","pos1Size3",660.46250000596,"right",5,40,40,60,40
"334",4373538,"Binoc","pos2Size1",426.26250000298,"right",20,20,25,80,25
"335",4373538,"Binoc","pos2Size2",527.224999986589,"right",10,20,25,80,25
"336",4373538,"Binoc","pos2Size3",649.28749999404,"right",5,20,25,80,25
"337",4373538,"Binoc","pos3Size1",580.73750000447,"right",20,41,71,59,71
"338",4373538,"Binoc","pos3Size2",708.52500000596,"right",10,41,71,59,71
"339",4373538,"Binoc","pos3Size3",675.82499999553,"right",5,41,71,59,71
"340",4373538,"Binoc","pos4Size1",581.537500008941,"right",20,74,74,26,74
"341",4373538,"Binoc","pos4Size2",662.250000014901,"right",10,74,74,26,74
"342",4373538,"Binoc","pos4Size3",705.42500000447,"right",5,74,74,26,74
"343",4373538,"Binoc","pos5Size1",460.900000005961,"right",20,8,46,92,46
"344",4373538,"Binoc","pos5Size2",572.89999999851,"right",10,8,46,92,46
"345",4373538,"Binoc","pos5Size3",770.612500004471,"right",5,8,46,92,46
"346",4373538,"Mono","pos1Size1",556.63749999553,"right",20,40,40,60,40
"347",4373538,"Mono","pos1Size2",644.53750000149,"right",10,40,40,60,40
"348",4373538,"Mono","pos1Size3",725.54999999702,"right",5,40,40,60,40
