"","Participant.Private.ID","Eye.Condition","Task.Name","Spreadsheet","Trial.Number","structure","xR","yR","xL","yL","size","Reaction.Time"
"258",4384320,"Mono","Fitts's Law","right","2","pos4Size2",74,74,26,74,10,669.899999976158
"259",4384320,"Mono","Fitts's Law","right","2","pos4Size1",74,74,26,74,20,787.799999952316
"260",4384320,"Mono","Fitts's Law","right","2","pos2Size3",20,25,80,25,5,983.800000071526
"261",4384320,"Mono","Fitts's Law","right","2","pos2Size2",20,25,80,25,10,721.700000047684
"262",4384320,"Mono","Fitts's Law","right","2","pos5Size1",8,46,92,46,20,681.899999976158
"263",4384320,"Mono","Fitts's Law","right","2","pos5Size3",8,46,92,46,5,755.800000071526
"264",4384320,"Mono","Fitts's Law","right","2","pos1Size2",40,40,60,40,10,839.899999976158
"265",4384320,"Mono","Fitts's Law","right","2","pos3Size1",41,71,59,71,20,769.700000047684
"266",4384320,"Mono","Fitts's Law","right","2","pos1Size1",40,40,60,40,20,647.5
"267",4384320,"Mono","Fitts's Law","right","2","pos5Size2",8,46,92,46,10,673.700000047684
"268",4384320,"Mono","Fitts's Law","right","2","pos2Size1",20,25,80,25,20,509.600000023842
"269",4384320,"Mono","Fitts's Law","right","2","pos1Size3",40,40,60,40,5,756.899999976158
"270",4384320,"Mono","Fitts's Law","right","2","pos3Size3",41,71,59,71,5,783.800000071526
"271",4384320,"Mono","Fitts's Law","right","3","pos5Size2",8,46,92,46,10,697.800000071526
"272",4384320,"Mono","Fitts's Law","right","3","pos2Size2",20,25,80,25,10,481.5
"273",4384320,"Mono","Fitts's Law","right","3","pos2Size1",20,25,80,25,20,433.799999952316
"274",4384320,"Mono","Fitts's Law","right","3","pos1Size2",40,40,60,40,10,620.5
"275",4384320,"Mono","Fitts's Law","right","3","pos3Size2",41,71,59,71,10,737.399999976158
"276",4384320,"Mono","Fitts's Law","right","3","pos4Size1",74,74,26,74,20,736.899999976158
"277",4384320,"Mono","Fitts's Law","right","3","pos2Size3",20,25,80,25,5,597
"278",4384320,"Mono","Fitts's Law","right","3","pos4Size2",74,74,26,74,10,727
"279",4384320,"Mono","Fitts's Law","right","3","pos1Size1",40,40,60,40,20,561.100000023842
"280",4384320,"Mono","Fitts's Law","right","3","pos3Size3",41,71,59,71,5,811
"281",4384320,"Mono","Fitts's Law","right","3","pos5Size1",8,46,92,46,20,454.899999976158
"282",4384320,"Mono","Fitts's Law","right","3","pos1Size3",40,40,60,40,5,723
"283",4384320,"Mono","Fitts's Law","right","3","pos4Size3",74,74,26,74,5,1535.60000002384
"284",4384320,"Mono","Fitts's Law","right","3","pos5Size3",8,46,92,46,5,931
"285",4384320,"Mono","Fitts's Law","right","3","pos3Size1",41,71,59,71,20,589
"286",4384320,"Mono","Fitts's Law","right","4","pos5Size2",8,46,92,46,10,648.700000047684
